PC,eigenvalue,explained_variance_ratio
PC1,32.20060224188477,0.016100301120942385
PC2,20.311027862947206,0.010155513931473603
PC3,18.627839651969456,0.009313919825984727
PC4,11.967173670545181,0.00598358683527259
PC5,9.991591005000434,0.004995795502500216
PC6,8.146592074901593,0.004073296037450796
PC7,6.63778244180002,0.0033188912209000097
PC8,6.105714341776365,0.0030528571708881825
PC9,5.2426618534064735,0.0026213309267032366
PC10,5.185879313840875,0.002592939656920437
PC11,4.746122165995038,0.0023730610829975187
PC12,4.508735500372326,0.002254367750186163
PC13,4.403467043617877,0.0022017335218089385
PC14,4.3038874641359,0.0021519437320679496
PC15,4.24388311760586,0.0021219415588029297
PC16,4.198918677398319,0.002099459338699159
PC17,4.158963135509193,0.002079481567754596
PC18,4.126124539544032,0.0020630622697720155
PC19,4.112143284632813,0.0020560716423164063
PC20,4.1066442984312035,0.0020533221492156015
PC21,4.040333220303364,0.002020166610151682
PC22,3.9941863051823994,0.0019970931525911994
PC23,3.9684485619687853,0.0019842242809843926
PC24,3.956741065428035,0.001978370532714017
PC25,3.934836462351612,0.001967418231175806
PC26,3.895946575848015,0.0019479732879240073
PC27,3.8516604924163342,0.0019258302462081668
PC28,3.7841164114880654,0.0018920582057440326
PC29,3.764601741677933,0.0018823008708389664
PC30,3.744253155646712,0.0018721265778233558
PC31,3.73239215054321,0.0018661960752716048
PC32,3.68381624325901,0.0018419081216295048
PC33,3.67005949999922,0.0018350297499996097
PC34,3.65050667926047,0.001825253339630235
PC35,3.6217302701212803,0.00181086513506064
PC36,3.5980774270657805,0.00179903871353289
PC37,3.589231128278162,0.0017946155641390808
PC38,3.5804587266111296,0.0017902293633055646
PC39,3.556761781162547,0.0017783808905812732
PC40,3.5474282437130364,0.001773714121856518
PC41,3.522858217635425,0.0017614291088177123
PC42,3.4987254088915725,0.001749362704445786
PC43,3.495347733754146,0.0017476738668770729
PC44,3.4746364001511654,0.0017373182000755825
PC45,3.463956907843966,0.0017319784539219828
PC46,3.448092396921471,0.0017240461984607354
PC47,3.4411655593221013,0.0017205827796610504
PC48,3.409951201348454,0.0017049756006742268
PC49,3.386052062852786,0.0016930260314263928
PC50,3.380010501447828,0.001690005250723914
PC51,3.3727513354773695,0.0016863756677386846
PC52,3.3693647001520004,0.001684682350076
PC53,3.3479879997670667,0.001673993999883533
PC54,3.3397423137305657,0.0016698711568652828
PC55,3.329677570801682,0.0016648387854008408
PC56,3.3267856356690757,0.0016633928178345376
PC57,3.3058280210370703,0.001652914010518535
PC58,3.2939840779431995,0.0016469920389715995
PC59,3.282417188975171,0.0016412085944875854
PC60,3.277033161623619,0.0016385165808118093
PC61,3.2679643439483326,0.001633982171974166
PC62,3.2471122743679457,0.0016235561371839727
PC63,3.238329715788414,0.0016191648578942068
PC64,3.2284436143503026,0.001614221807175151
PC65,3.217746410936627,0.0016088732054683132
PC66,3.212178660616278,0.0016060893303081387
PC67,3.1952935419020956,0.0015976467709510477
PC68,3.186747855413653,0.0015933739277068262
PC69,3.1770559484527925,0.0015885279742263961
PC70,3.1709807364887044,0.001585490368244352
PC71,3.155585037353165,0.0015777925186765823
PC72,3.149770368423638,0.0015748851842118188
PC73,3.1369419915999464,0.001568470995799973
PC74,3.134563757453289,0.0015672818787266444
PC75,3.126422501531225,0.0015632112507656122
PC76,3.1152558873326783,0.001557627943666339
PC77,3.0998374505006647,0.0015499187252503322
PC78,3.0875565959284614,0.0015437782979642305
PC79,3.086941093443164,0.0015434705467215818
PC80,3.0848655716777893,0.0015424327858388944
PC81,3.0782407774246923,0.0015391203887123459
PC82,3.070016354535128,0.0015350081772675637
PC83,3.057431252678969,0.0015287156263394843
PC84,3.0493511650700835,0.0015246755825350415
PC85,3.0482280059507985,0.001524114002975399
PC86,3.038877891634005,0.0015194389458170023
PC87,3.026967140953756,0.001513483570476878
PC88,3.0195225500341087,0.0015097612750170541
PC89,3.010831424814357,0.0015054157124071784
PC90,3.005356082654422,0.0015026780413272109
PC91,2.993501701638721,0.0014967508508193603
PC92,2.9769781139386384,0.001488489056969319
PC93,2.9666084503285175,0.0014833042251642585
PC94,2.9634728661079337,0.0014817364330539666
PC95,2.9627176161353264,0.001481358808067663
PC96,2.952500150750497,0.0014762500753752483
PC97,2.9438350979600463,0.001471917548980023
PC98,2.9381905341359706,0.0014690952670679853
PC99,2.9232328307450857,0.0014616164153725426
PC100,2.91364173983458,0.0014568208699172898
PC101,2.912098857634867,0.0014560494288174332
PC102,2.8975574580728765,0.0014487787290364382
PC103,2.892225032036829,0.0014461125160184142
PC104,2.8835881929003087,0.0014417940964501542
PC105,2.8778379088072845,0.001438918954403642
PC106,2.8690924548735675,0.0014345462274367835
PC107,2.85995244462002,0.00142997622231001
PC108,2.8552648842090393,0.0014276324421045195
PC109,2.8494052684745177,0.0014247026342372588
PC110,2.8479084921483784,0.001423954246074189
PC111,2.8423794687998827,0.0014211897343999413
PC112,2.8319977013376394,0.0014159988506688196
PC113,2.827787133779437,0.0014138935668897184
PC114,2.824203766889153,0.0014121018834445762
PC115,2.813989684745787,0.0014069948423728934
PC116,2.8062396677919446,0.0014031198338959722
PC117,2.8018919459139986,0.001400945972956999
PC118,2.7970590373437365,0.0013985295186718682
PC119,2.7894715931622627,0.0013947357965811312
PC120,2.7891768780640334,0.0013945884390320165
PC121,2.780348776870599,0.0013901743884352994
PC122,2.773828305838065,0.0013869141529190324
PC123,2.7701730522497376,0.0013850865261248687
PC124,2.7635003052389346,0.0013817501526194671
PC125,2.7577852995949046,0.0013788926497974522
PC126,2.7543237285631172,0.0013771618642815584
PC127,2.74487324695968,0.00137243662347984
PC128,2.738732097730239,0.0013693660488651195
PC129,2.7344884326922334,0.0013672442163461165
PC130,2.724505530574925,0.0013622527652874623
PC131,2.719314485386437,0.0013596572426932184
PC132,2.7114648694699635,0.0013557324347349816
PC133,2.704735461116818,0.0013523677305584088
PC134,2.7015256227202915,0.0013507628113601457
PC135,2.699576313156439,0.0013497881565782193
PC136,2.692766967856818,0.0013463834839284089
PC137,2.6860715184861634,0.0013430357592430816
PC138,2.682336527514849,0.0013411682637574243
PC139,2.675492061238755,0.0013377460306193774
PC140,2.6712440507562962,0.001335622025378148
PC141,2.6649710285073533,0.0013324855142536765
PC142,2.660057078345037,0.0013300285391725183
PC143,2.6487804711684806,0.0013243902355842402
PC144,2.6474279742747973,0.0013237139871373985
PC145,2.643856048274456,0.0013219280241372278
PC146,2.6417859342053602,0.00132089296710268
PC147,2.6306507928351963,0.001315325396417598
PC148,2.6267181076949417,0.0013133590538474708
PC149,2.622018628922805,0.0013110093144614024
PC150,2.615411890005826,0.0013077059450029129
PC151,2.6111811439091452,0.0013055905719545724
PC152,2.6079154310422816,0.0013039577155211407
PC153,2.6026077664477802,0.00130130388322389
PC154,2.592936613933004,0.0012964683069665018
PC155,2.590690199813904,0.001295345099906952
PC156,2.581910692644215,0.0012909553463221074
PC157,2.5804024570851443,0.001290201228542572
PC158,2.57369821629452,0.0012868491081472599
PC159,2.569004096401427,0.0012845020482007133
PC160,2.56075260437533,0.0012803763021876648
PC161,2.5537704562919328,0.0012768852281459663
PC162,2.5495697900161947,0.001274784895008097
PC163,2.5487933037415016,0.0012743966518707506
PC164,2.5428273073147714,0.0012714136536573855
PC165,2.538492059980146,0.0012692460299900728
PC166,2.531064536912586,0.001265532268456293
PC167,2.5253221395771597,0.0012626610697885796
PC168,2.522832864530804,0.0012614164322654019
PC169,2.5185819607720994,0.0012592909803860496
PC170,2.516990623203646,0.0012584953116018228
PC171,2.5143565001055714,0.0012571782500527856
PC172,2.5059397084774204,0.00125296985423871
PC173,2.4980262209789292,0.0012490131104894646
