,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50
B3GALTL,-0.002153398327482486,0.01250096171809219,-0.0008665593335331706,0.005519721616964782,0.0029670353398366387,-0.001791454077651443,0.001119629958840299,-0.0015257427241394908,0.00195204317588566,-0.0010530621159175965,0.009552667691866728,-0.001828724527014196,0.017548324183849245,-0.023983415858917348,0.011958342190622738,-0.006704301704833346,-0.01133269901229026,0.01608456959188159,-2.6745620975767015e-05,0.0063784842929608156,-0.000600566804147667,0.000847744810992359,-0.006164103206314824,0.013392130508398454,-0.006433126766624245,0.017218882527429123,-0.0176492869689556,0.011400013343003852,-0.024350942542737727,0.008887432197494285,-0.0016445001718043927,0.007791214859419454,-0.01724173869623651,0.002608707849934154,0.009982379557392023,-0.03200674602460412,0.0005934358587908455,0.01095891425624957,0.015779692934392964,-0.02023423397030073,0.014547941805212553,0.0013409306643207344,-0.0036174571816126313,0.014070292233463969,-0.01764917900305063,0.001326442828629084,-0.01054944327048494,0.009171113999302469,-0.009091414196999917,0.004407784160242801
ZNF395,-0.001632167696983794,0.0020739399656007906,-0.010875896455280493,-0.015497259925010928,-0.0003433731381774878,-0.0006090104765942069,-0.003370737053239035,-0.0037207529656895976,0.0010114829224740357,3.064952276656766e-05,5.8234673839009654e-05,-0.01477254188856226,0.0003576967632245298,0.005128351821289512,-0.0017588005741783624,-0.013034798268705862,-0.006636409109467056,-0.006125930668390456,-0.00884222953878747,-0.004897144362315555,0.003296520703979081,-0.01759021196231175,0.016118093114714002,0.02121810480164258,-0.003802284572761598,-0.010516507569649405,-0.006181586180962213,-0.04510677317331483,0.008142260713234262,0.007415767107435495,0.0025251219112965764,-0.009330265712785332,0.020380928078372787,-0.004095341909805641,-0.012793334623509976,0.027634955178099926,0.006260813260233665,0.03239049354569557,0.015853711960009634,0.014904512624136335,-0.0012719059747361844,0.021614440052678558,-0.020374753125511083,-0.010939227860996617,0.0003342628046842516,-0.0011254698300900857,-0.00011850286334557161,-0.004773193956188984,-0.01537480221299692,-0.0022798456803455325
C11orf68,-0.001223232554470599,0.003930925417220177,0.0006076517618224808,-0.005106998872300594,-0.00016067236070205215,0.0015336633238429917,0.001963416508836884,-0.00230005368663032,-0.0016453659358687028,0.0013907911744147914,-0.008116219863459959,0.005050298147879419,0.0025930172623915976,0.00563976783539993,0.002084896911110916,0.02434839072765892,-0.005760465408922543,0.005166707998703933,-0.005692063861821636,0.019171114096799762,0.014505303961715097,0.005175424637913834,0.004844496419314097,-0.015165600514864786,0.00979840836509131,0.01515587793362161,-0.005774153365688063,-0.0008162166990586636,-0.019905974686968968,0.013783132878601218,0.020996961954881904,-0.0017684019192676012,0.012165044276086754,-0.0062322893458385195,-0.013773671345972195,0.019058804909754347,-0.021026795418386517,0.003967025910215015,-0.003504138379266047,0.011591703429572218,0.0060368543676680856,0.018898382466893206,0.0051572162769373325,0.02100918975438865,-0.011808369388973197,0.0029461703909613867,-0.01769694581573817,0.0022286766697897226,-0.006369166893463738,-0.002147015707960224
RP11-11N7.4,-9.389026916439835e-05,-0.0010673782567360013,0.0006009075581987627,0.005916046058949437,0.00023847455442492504,0.0015199129063837233,-0.00254000192840562,-0.005233749681661324,-0.014516804103618094,0.016969472480752333,0.002157869554564283,0.006622399410318875,0.004838926097431667,0.003457443097184487,-0.005562997334948305,0.004551828245807216,-0.00030339317682710754,0.00028752387758287923,-0.00842490054346615,-0.006569255110008641,0.005585770708999247,0.012797193306223194,-0.0014772059277112816,-0.00047512190737773047,-0.00143831937320733,0.0015823476265314981,-0.003958233490818877,0.007795219494988601,0.009761324712149272,-0.0006208627968722451,-0.0010440688944369958,-0.003849776677806758,0.003634327876219312,-0.007694937280770784,0.005724304116495504,-0.00233367004879112,0.0021338485374354614,0.0014769829883588131,1.7668949313917603e-05,0.005039848675394185,0.002871710055624005,-0.00023555004322316784,0.0062349443288141,0.007327096610876136,-0.01209045980510837,0.002491483177426497,0.0019585186066542262,-0.0042039272351222234,-0.013648751848541585,0.0017433270412823805
PLD1,-0.0003442895824375958,-0.004709501770630231,0.0034253434870216252,0.0011973810338577195,-0.007225575931493311,-0.004077079885195456,-3.5353267132248734e-06,0.0021744340553824966,0.0009095453426639158,0.0027937664831297893,0.0013808073339235116,-0.0011409012282603461,0.013245417297194681,-0.0029654546631278644,0.005585355908852063,-0.017136155027642486,-0.003108849979756162,-0.0014242334249348204,-0.00038880501082816436,-0.0015046200988519526,0.0023012796051268543,-0.0033547327870260563,-0.011940332247211395,0.0010704533523664822,-0.006045175546632052,-0.00551855383156355,-0.012051950768093803,0.01191256283951244,-0.011816807155734521,0.017666038178663704,0.0044912330147865095,-0.007849465891640563,-0.0073753607828442175,-0.005243779255890258,0.02216788181217763,-0.004950453881702732,-0.03185433378846694,0.03206377297600494,-0.011934631066356435,0.003227467263350395,-0.0045463863058460285,-0.006139496988061906,-0.005369572519444326,-0.004482143776814572,0.019208963487475333,0.002415780862929635,-0.022541443977382968,-0.002673127480443637,0.02343673443879162,0.03365868873097852
BTLA,-0.0023746812868931932,0.006250682689167092,-0.04712033753728599,-0.024134714125036982,0.0008270743016289828,0.006098937036841695,0.0013821190996238589,-0.0064744577272475845,0.008720464075009628,-0.001092764572485692,0.0064102301915751544,-0.0058211212338404065,0.005247201226833198,0.009757622105746322,0.019352102053394864,-0.0035543634077422614,0.0047186362153032735,0.02441171900905599,-0.020280999981135358,0.005730478426877515,-0.03523070870987772,-1.5548064846938577e-05,-0.05149321904612213,0.03958927127620854,0.04792360800688593,-0.047488381304799106,0.021415112414671856,-0.01898863667133168,-0.0212237836009893,-0.006104057460985272,0.004337667746819573,0.026342392894738074,0.0035466551938632043,-0.027831633772038265,-0.018535409563006682,-0.015937956569214082,0.012426229791692976,0.02894278499551899,-0.0011975424003342235,-0.0010752219880120605,-0.021221453362587062,0.020425116242878516,-0.025144050582413632,-0.0036436097210074065,-0.04010950781326785,-0.03199717032692044,-0.00583089087784508,0.03363855706816682,0.008528932659356319,-0.0012557638588606872
SCLY,0.0037632332208438948,0.0017344586085346336,-0.0037628914334935926,-0.010107088078880666,-0.00150022778397374,0.00033610856863179606,0.006437969485058884,0.003966418903473781,-0.008258180327438407,0.0011279498010682842,4.218695446270293e-05,0.0185816215363445,-0.013486092267877003,-0.03993543714705189,0.024814450190121143,0.008953490796938302,-0.007830141799937934,-0.00691418120967488,-0.004178239794936485,-0.0012651357705001434,-0.00041411959917416353,-0.005800488917709327,0.018783828977532974,0.0030219220980769734,-0.006915279222756976,-0.00037163515002625047,-0.005853904829121168,0.007674872184676655,0.00530161777759966,0.010125952022449654,0.024464616963811973,-0.012914337308938866,-0.011555699934460456,-0.013245460343420648,0.010835162228350695,0.008079597235734787,-0.0003314767861414213,0.004868758158984923,0.02066551688165344,-0.0069558277018355735,-0.005784084939076617,-0.0006689058837271887,0.003309579507771228,-0.02955732918324524,-0.012325960812858229,0.010798750656480172,-0.01034266666378358,-0.0076967828138373925,-0.03219543505055985,-0.004212336995569183
SLC25A51,-0.002524754055054788,0.01390478382093225,0.0060588772278936665,0.002738760982999529,0.002703205500031114,-0.0006882940307526841,-0.002031177111183835,0.004429860441601777,-0.0007418984132550599,0.001818996004272301,0.00020614115156263046,-0.0014290679272866216,-0.006965914798919531,0.00823421955437155,-0.012978991676910846,0.00015963542839266855,-0.014290013258469424,-0.003730258290808596,-0.0008057052546080031,0.012248700024698122,-0.01794747959388792,-0.026418890138994983,-0.011300079369955378,-0.012958268267463734,-0.006616680606058338,-0.0024005332774956136,-0.005496553394439498,-0.008284495446768719,-0.02352970467383879,0.014684356951577979,-0.01452324043385688,0.008401463262589276,0.008352386022213035,-0.015905662070798444,-0.011787708420766551,-0.026067447251249664,0.0007517696673755025,0.0036589229548069906,-0.02127516866782679,-0.013295917138728389,0.024710410999195825,0.0010934175668072298,-0.02141646573628663,0.030424030932385486,-0.01227858186532639,0.004326735255956256,-0.00033469759903478717,-0.04349662453700562,-0.010148398400354267,-0.014836317446895057
AC006129.2,-0.00282384845489648,0.016811637770779944,0.002341646694127175,0.0030850136960842156,0.0008095804941262719,-0.000991718545702458,0.0013223797880737992,0.0016404483112429508,0.00040086410231146563,-0.0003578216339568535,-0.0029404233732814034,-0.005069556781054925,0.007644913758573957,0.012374588182438612,0.008003702830446519,0.005745618489739798,0.008410308306307152,-0.002940499908014954,-0.008202971227932433,-0.00010755236281961844,-0.013097430904457377,0.010582442479200233,0.0062743785325614886,0.009984625519105075,0.013731092024760597,-0.02899556629644985,0.0013729504148057986,-0.007780549188588639,0.03874706172823086,0.015506588375194343,-0.0015146102871858302,0.0009102541664133667,0.044709881518014485,-0.032127317315552704,-0.01090049316024168,-0.004278656932692498,-0.03540029674877701,-0.03750091298720548,0.007929353949726534,0.023805703524785782,-0.01908758151336029,0.017694455677969304,0.0027801596043967015,-0.03311869003646309,-0.016511963215631347,0.019121505311960857,0.01007693383753032,-0.0062094816451143935,-0.04398894987546852,0.0016235398941432627
NFE2,0.034005046212921636,-0.04794396361254129,0.022781425324483684,-0.028337268829162765,0.0159643334370958,-0.014939468193916339,-0.05931173065378398,-0.026890809106173447,-0.02418176999137252,-0.040540827767874495,-0.006730745832039767,-0.003432170153991232,0.01544124797207208,-0.002300392495089329,-0.005704003192177877,-0.024081395804904555,-0.007462776498811156,0.011622678240677753,0.004994418373656024,-0.009418174293423176,-0.018980762034553646,0.0006714273300836575,-0.003957556708164351,0.004765199149691292,0.006808195830651419,0.010701796783324793,-0.004604461055303974,0.004246058629722486,-0.008421177064310795,0.014926575978663018,-0.012639960063890501,0.0015300015299812633,0.022232949308540133,-0.0031732636560404025,-0.0019215800188417502,-0.019846302370999415,-0.009999631649093036,0.019288580198171004,-0.001439565349088727,0.009744800434924844,-0.03336747918191442,0.004807082817017324,0.0032886916840608738,-0.0007438661520867244,-0.010115762562686571,0.027803350584995876,-0.013206635730064704,-0.025051564276577426,0.02731550633373404,0.02805825484149732
